Date,Open,High,Low,Close,Adj Close,Volume
2021-05-20,16122.519531,16154.080078,15943.450195,16042.360352,16042.360352,8178100
2021-05-21,16136.860352,16431.140625,16136.860352,16302.059570,16302.059570,7531400
2021-05-24,16246.519531,16397.589844,16136.969727,16338.290039,16338.290039,7333500
2021-05-25,16444.750000,16657.599609,16444.750000,16595.669922,16595.669922,9038500
2021-05-26,16645.169922,16706.289063,16523.230469,16643.689453,16643.689453,6816100
2021-05-27,16591.699219,16601.609375,16419.419922,16601.609375,16601.609375,8532000
2021-05-28,16690.039063,16889.009766,16690.039063,16870.859375,16870.859375,8549300
2021-05-31,16948.470703,17113.330078,16939.910156,17068.429688,17068.429688,9490500
2021-06-01,17098.490234,17184.300781,17060.449219,17162.380859,17162.380859,7821200
2021-06-02,17192.910156,17274.660156,17056.419922,17165.039063,17165.039063,9368700
2021-06-03,17201.300781,17311.279297,17198.890625,17246.160156,17246.160156,8355400
2021-06-04,17225.060547,17225.060547,17084.490234,17147.410156,17147.410156,8595000
2021-06-07,17176.089844,17189.230469,16775.849609,17083.910156,17083.910156,8683700
2021-06-08,17094.339844,17181.519531,17056.529297,17076.210938,17076.210938,5658700
2021-06-09,17082.519531,17082.519531,16907.429688,16966.220703,16966.220703,6310000
2021-06-10,17024.539063,17159.220703,16978.009766,17159.220703,17159.220703,6582700
2021-06-11,17200.449219,17278.550781,17193.609375,17213.519531,17213.519531,6154800
2021-06-15,17279.699219,17371.289063,17279.699219,17371.289063,17371.289063,6317500
2021-06-16,17357.369141,17398.220703,17275.019531,17307.859375,17307.859375,7962000
2021-06-17,17254.839844,17390.609375,17150.519531,17390.609375,17390.609375,6398800
2021-06-18,17384.740234,17417.500000,17318.539063,17318.539063,17318.539063,7976600
2021-06-21,17305.490234,17305.490234,17023.310547,17062.980469,17062.980469,7503200
2021-06-22,17162.710938,17270.470703,17075.550781,17075.550781,17075.550781,8917000
2021-06-23,17127.589844,17375.789063,17127.589844,17336.710938,17336.710938,8083500
2021-06-24,17358.570313,17439.630859,17319.890625,17407.960938,17407.960938,6453900
2021-06-25,17471.070313,17597.330078,17471.070313,17502.990234,17502.990234,6766700
